Time (s),ADC Value,30s Avg,5m Avg,10m Avg
723,384,784.1,1021.16,1048.01
726,287,762.4,1011.07,1040.05
729,276,685.0,1007.6,1033.54
732,237,624.7,992.7,1028.72
735,968,669.8,987.07,1033.02
738,1300,746.6,988.66,1037.96
741,1208,788.0,984.95,1037.31
744,1885,912.1,988.41,1045.14
747,1203,909.4,991.97,1042.39
750,1144,889.2,985.11,1041.41
753,1099,960.7,989.98,1037.16
756,1797,1111.7,999.95,1041.0
759,1892,1273.3,1013.17,1043.39
762,1154,1365.0,1023.15,1046.7
765,246,1292.8,1016.75,1043.72
768,270,1189.8,1018.81,1043.19
771,1389,1207.9,1012.76,1041.84
774,829,1102.3,1013.34,1038.75
777,703,1052.3,1011.36,1035.99
780,1061,1044.0,1015.46,1031.6
783,411,975.2,1014.21,1025.58
786,632,858.7,1012.89,1028.09
789,666,736.1,1017.83,1022.92
792,1997,820.4,1033.63,1031.72
795,1716,967.4,1033.78,1036.82
798,356,976.0,1019.11,1033.72
801,302,867.3,1010.85,1033.48
804,510,835.4,1013.9,1031.8
807,499,815.0,1002.25,1024.76
810,457,754.6,995.16,1026.67
813,1681,881.6,995.34,1033.23
816,850,903.4,998.93,1027.86
819,1519,988.7,1012.83,1031.19
822,15,790.5,1009.28,1024.03
825,762,695.1,1003.77,1025.97
828,1496,809.1,1003.45,1029.28
831,426,821.5,991.48,1025.77
834,1920,962.5,997.47,1031.97
837,1198,1032.4,1003.7,1029.92
840,501,1036.8,998.93,1026.94
843,1051,973.8,993.41,1022.53
846,1239,1012.7,1004.31,1019.53
849,1260,986.8,1008.19,1021.49
852,620,1047.3,997.4,1018.67
855,403,1011.4,982.24,1013.83
858,1295,991.3,990.31,1017.55
861,883,1037.0,982.53,1012.2
864,897,934.7,977.28,1008.4
867,375,852.4,964.4,1009.44
870,716,873.9,961.67,1009.87
873,535,822.3,959.49,1012.39
876,380,736.4,959.54,1007.97
879,863,696.7,958.61,1005.46
882,1745,809.2,956.86,1004.98
885,1348,903.7,961.56,1006.23
888,1924,966.6,961.78,1008.8
891,1853,1063.6,960.68,1010.05
894,660,1039.9,949.2,1008.21
897,1264,1128.8,961.26,1004.59
900,370,1094.2,955.66,998.13
903,530,1093.7,954.0,993.26
906,152,1070.9,947.49,984.26
909,230,1007.6,947.52,982.79
912,1184,951.5,944.31,982.34
915,653,882.0,937.11,978.0
918,501,739.7,927.74,973.11
921,375,591.9,929.92,967.37
924,416,567.5,932.09,966.38
927,1782,619.3,931.79,966.41
930,1532,735.5,928.85,974.02
933,80,690.5,918.1,972.21
936,116,686.9,903.69,963.34
939,1694,833.3,911.21,963.92
942,1301,845.0,919.27,963.01
945,174,797.1,920.79,959.53
948,1989,945.9,940.66,968.0
951,817,990.1,932.13,971.89
954,71,955.6,921.15,970.54
957,859,863.3,926.37,967.73
960,1994,909.5,929.93,968.73
963,938,995.3,932.93,970.73
966,1504,1134.1,937.41,972.99
969,1679,1132.6,939.26,981.16
972,280,1030.5,929.73,981.7
975,143,1027.4,922.82,974.64
978,1858,1014.3,922.95,977.27
981,1391,1071.7,921.07,979.73
984,653,1129.9,927.16,982.59
987,1820,1226.0,935.7,991.53
990,669,1093.5,932.27,986.04
993,954,1095.1,927.23,981.42
996,1235,1068.2,934.54,987.41
999,1933,1093.6,943.37,990.5
1002,20,1067.6,935.17,987.78
1005,24,1055.7,930.24,984.98
1008,178,887.7,926.7,981.27
1011,521,800.7,923.97,981.09
1014,1844,919.8,935.97,984.36
1017,68,744.6,924.35,978.41
1020,1660,843.7,927.49,980.5
1023,712,819.5,930.77,975.97
1026,1154,811.4,939.44,975.25
1029,1321,750.2,949.89,978.75
1032,308,779.0,950.6,971.65
1035,965,873.1,950.57,968.82
1038,312,886.5,940.69,964.67
1041,6,835.0,928.67,956.81
1044,869,737.5,918.51,953.46
1047,442,774.9,910.9,951.43
1050,396,648.5,903.42,944.26
1053,185,595.8,894.28,942.13
1056,1517,632.1,891.48,945.72
1059,1463,646.3,887.19,950.18
1062,266,642.1,878.31,950.73
1065,1921,737.7,895.06,955.9
1068,720,778.5,899.56,959.18
1071,1712,949.1,902.79,957.77
1074,480,910.2,899.3,956.32
1077,1264,992.4,904.91,958.13
1080,433,996.1,898.63,957.04
1083,1800,1157.6,912.52,963.37
1086,1308,1136.7,919.28,966.09
1089,245,1014.9,915.07,966.45
1092,1361,1124.4,908.71,971.17
1095,14,933.7,891.69,962.74
1098,883,950.0,896.96,958.03
1101,557,834.5,899.51,955.18
1104,487,835.2,899.28,956.59
1107,1298,838.6,907.27,954.76
1110,1918,987.1,921.88,958.52
1113,1327,939.8,918.34,956.84
1116,818,890.8,918.02,958.48
1119,364,902.7,906.47,959.65
1122,999,866.5,916.31,962.79
1125,813,946.4,916.82,960.29
1128,1639,1022.0,918.25,960.85
1131,1894,1155.7,932.93,962.21
1134,1227,1229.7,926.0,961.74
1137,1336,1233.5,927.38,965.54
1140,1205,1162.2,934.42,966.67
1143,1200,1149.5,935.91,964.66
1146,1674,1235.1,940.26,972.28
1149,26,1201.3,927.92,968.05
1152,1017,1203.1,931.89,964.64
1155,733,1195.1,935.19,958.72
1158,1553,1186.5,937.77,964.04
1161,538,1050.9,934.32,958.42
1164,1024,1030.6,935.59,956.43
1167,499,946.9,936.83,950.62
1170,214,847.8,931.81,946.74
1173,1567,884.5,942.13,950.81
1176,1627,879.8,954.6,957.07
1179,130,890.2,947.27,952.94
1182,1704,958.9,946.86,951.86
1185,226,908.2,935.64,948.6
1188,90,761.9,917.3,939.54
1191,119,720.0,899.96,930.32
1194,1929,810.5,912.65,930.92
1197,647,825.3,906.48,933.87
1200,1020,905.9,912.98,934.32
1203,1024,851.6,917.92,935.96
1206,1927,881.6,935.67,941.58
1209,418,910.4,937.55,942.53
1212,1058,845.8,936.29,940.3
1215,953,918.5,939.29,938.2
1218,425,952.0,938.53,933.13
1221,1434,1083.5,949.12,939.52
1224,445,935.1,949.41,940.75
1227,988,969.2,941.47,936.63
1230,1965,1063.7,945.8,937.33
1233,940,1055.3,954.4,936.25
1236,543,916.9,958.67,931.18
1239,497,924.8,946.7,928.96
1242,797,898.7,941.66,930.47
1245,1307,934.1,952.99,936.89
1248,1744,1066.0,950.54,945.6
1251,996,1022.2,952.33,942.23
1254,1646,1142.3,968.08,944.62
1257,1196,1163.1,971.45,948.91
1260,1817,1148.3,969.68,949.8
1263,1332,1187.5,973.62,953.27
1266,1231,1256.3,970.89,954.15
1269,417,1248.3,958.27,948.76
1272,1321,1300.7,968.68,949.21
1275,1918,1361.8,986.43,954.62
1278,518,1239.2,973.03,947.99
1281,696,1209.2,966.08,943.58
1284,446,1089.2,964.01,945.59
1287,1416,1111.2,959.97,947.84
1290,908,1020.3,962.36,947.32
1293,448,931.9,957.3,942.26
1296,1764,985.2,962.59,948.57
1299,107,954.2,944.33,943.85
1302,68,828.9,944.81,939.99
1305,494,686.5,949.51,939.88
1308,777,712.4,955.5,941.1
1311,209,663.7,952.38,938.17
1314,1328,751.9,947.22,941.6
1317,801,690.4,954.55,939.45
1320,1352,734.8,951.47,939.48
1323,1591,849.1,960.26,945.51
1326,140,686.7,950.12,944.78
1329,1897,865.7,955.88,952.88
1332,576,916.5,958.56,954.58
1335,1038,970.9,959.29,954.93
1338,872,980.4,964.89,952.79
1341,670,1026.5,971.53,950.1
1344,430,936.7,967.14,942.83
1347,1955,1052.1,982.27,946.59
1350,426,959.5,982.57,943.0
1353,1656,966.0,997.28,945.78
1356,22,954.2,982.33,936.9
1359,1860,950.5,986.3,936.75
1362,1220,1014.9,995.84,937.08
1365,1500,1061.1,991.63,943.35
1368,942,1068.1,993.85,946.71
1371,575,1058.6,982.48,942.63
1374,1718,1187.4,994.86,947.08
1377,618,1053.7,988.4,946.65
1380,1829,1194.0,1002.36,950.5
1383,1510,1179.4,999.46,955.99
1386,47,1181.9,986.85,953.07
1389,1571,1153.0,1000.11,957.59
1392,334,1064.4,989.84,949.27
1395,203,934.7,991.73,941.71
1398,1315,972.0,996.05,946.5
1401,1162,1030.7,1002.1,950.8
1404,1581,1017.0,1013.04,956.16
1407,971,1052.3,1009.77,958.52
1410,578,927.2,996.37,959.12
1413,451,821.3,987.61,952.98
1416,1135,930.1,990.78,954.4
1419,1196,892.6,999.1,952.78
1422,968,956.0,998.79,957.55
1425,299,965.6,993.65,955.24
1428,973,931.4,986.99,952.62
1431,366,851.8,971.71,952.32
1434,1900,883.7,978.44,952.22
1437,1507,937.3,980.15,953.76
1440,1618,1041.3,984.28,959.35
1443,1702,1166.4,989.3,962.61
1446,421,1095.0,976.77,958.51
1449,617,1037.1,982.68,955.3
1452,971,1037.4,982.22,957.05
1455,1382,1145.7,988.71,961.95
1458,430,1091.4,977.48,957.62
1461,861,1140.9,980.71,957.51
1464,80,958.9,971.27,953.43
1467,643,872.5,972.71,954.77
1470,1750,885.7,988.07,959.94
1473,587,774.2,978.27,960.2
1476,788,810.9,969.88,962.24
1479,1064,855.6,979.22,963.25
1482,616,820.1,968.34,957.6
1485,778,759.7,973.86,954.75
1488,1086,825.3,983.82,950.56
1491,1861,925.3,1001.24,950.6
1494,695,986.8,988.9,950.77
1497,190,941.5,984.33,945.4
1500,901,856.6,983.14,948.06
1503,646,862.5,979.36,948.64
1506,430,826.7,964.39,950.03
1509,1925,912.8,979.46,958.5
1512,198,871.0,970.86,953.58
1515,906,883.8,970.39,954.84
1518,1973,972.5,985.87,962.2
1521,1542,940.6,986.95,968.03
1524,1654,1036.5,999.04,974.23
1527,345,1052.0,992.61,967.04
1530,1633,1125.2,989.29,967.54
1533,1141,1174.7,991.3,972.85
1536,1030,1234.7,996.17,977.42
1539,815,1123.7,999.35,973.02
1542,1511,1255.0,1006.49,974.08
1545,1356,1300.0,1006.98,979.99
1548,1449,1247.6,1004.03,977.28
1551,690,1162.4,1000.97,976.65
1554,18,998.8,984.69,976.38
1557,842,1048.5,981.15,976.3
1560,1310,1016.2,976.08,972.88
1563,1255,1027.6,975.31,974.47
1566,974,1022.0,972.74,971.82
1569,1009,1041.4,978.66,968.47
1572,413,931.6,969.58,969.13
1575,1829,978.9,968.69,977.56
1578,202,854.2,965.53,969.28
1581,1407,925.9,972.64,969.36
1584,534,977.5,973.52,968.76
1587,1127,1006.0,970.63,965.3
1590,726,947.6,968.81,965.59
1593,1033,925.4,974.66,965.98
1596,1847,1012.7,975.49,969.04
1599,1725,1084.3,991.67,968.0
1602,1397,1182.7,1004.96,974.88
1605,899,1089.7,1009.01,979.26
1608,417,1111.2,1005.41,980.46
1611,572,1027.7,1009.04,980.71
1614,1782,1152.5,1013.58,980.4
1617,1236,1163.4,1017.93,986.24
1620,200,1110.8,1006.41,978.94
1623,1028,1110.3,1000.78,980.52
1626,1176,1043.2,1011.14,980.63
1629,635,934.2,998.52,977.2
1632,1661,960.6,1009.37,983.97
1635,214,892.1,1001.13,980.21
1638,1365,986.9,1006.06,985.48
1641,999,1029.6,1009.35,990.44
1644,543,905.7,1010.48,988.81
1647,1454,927.5,1005.47,993.87
1650,1627,1070.2,1017.48,1000.02
1653,925,1059.9,1010.17,1003.73
1656,352,977.5,1013.47,997.9
1659,760,990.0,1002.47,994.38
1662,172,841.1,991.99,993.91
1665,1683,988.0,993.82,992.73
1668,1884,1039.9,1003.24,998.54
1671,337,973.7,1000.86,991.67
1674,1869,1106.3,1002.37,998.62
1677,1413,1102.2,1010.32,999.36
1680,39,943.4,992.42,997.39
1683,728,923.7,984.6,992.03
1686,544,942.9,989.57,988.21
1689,1399,1006.8,987.85,993.98
1692,413,1030.9,988.64,989.24
1695,921,954.7,995.82,993.77
1698,206,786.9,984.73,990.39
1701,540,807.2,978.51,990.3
1704,799,700.2,970.69,991.87
1707,347,593.6,964.45,987.11
1710,317,621.4,961.84,979.11
1713,1772,725.8,975.05,981.33
1716,624,733.8,969.94,980.36
1719,1311,725.0,971.09,985.1
1722,832,766.9,969.73,984.26
1725,987,773.5,976.61,985.13
1728,406,793.5,970.94,978.97
1731,916,831.1,976.44,974.08
1734,1808,932.0,975.52,976.98
1737,677,965.0,967.22,973.68
1740,979,1031.2,960.83,972.55
1743,239,877.9,946.2,967.75
1746,1653,980.8,958.52,967.64
1749,25,852.2,952.6,967.64
1752,1006,869.6,952.95,967.59
1755,511,822.0,944.24,966.48
1758,172,798.6,941.66,959.57
1761,1117,818.7,944.22,962.47
1764,517,689.6,948.59,959.93
1767,1775,799.4,959.91,966.31
1770,132,714.7,943.73,965.9
1773,436,734.4,942.22,960.25
1776,1183,687.4,946.17,958.02
1779,1762,861.1,953.15,966.18
1782,429,803.4,951.28,959.81
1785,236,775.9,945.86,959.86
1788,228,781.5,937.28,960.55
1791,301,699.9,921.68,961.46
1794,1581,806.3,930.54,959.72
1797,992,728.0,938.56,961.45
1800,1959,910.7,949.14,966.14
1803,1549,1022.0,958.17,968.76
1806,543,958.0,959.3,961.85
1809,528,834.6,945.33,962.39
1812,774,869.1,951.09,960.98
1815,595,905.0,947.98,959.18
1818,938,976.0,937.63,961.75
1821,1619,1107.8,938.4,962.67
1824,195,969.2,923.81,961.42
1827,1153,985.3,931.89,962.25
1830,117,801.1,916.73,953.01
1833,1726,818.8,922.58,956.94
1836,1560,920.5,927.88,962.02
1839,841,951.8,928.14,963.75
1842,1799,1054.3,931.02,968.75
1845,963,1091.1,927.09,967.03
1848,786,1075.9,920.46,962.25
1851,57,919.7,914.13,957.55
1854,1344,1034.6,927.39,956.04
1857,1606,1079.9,935.03,958.09
1860,344,1102.6,925.37,950.73
1863,1765,1106.5,930.47,952.89
1866,516,1002.1,925.89,949.32
1869,1112,1029.2,926.92,952.79
1872,1447,994.0,937.26,953.42
1875,1776,1075.3,936.73,952.71
1878,886,1085.3,943.57,954.55
1881,1092,1188.8,940.42,956.53
1884,784,1132.8,942.92,958.22
1887,298,1002.0,934.63,952.63
1890,1717,1139.3,944.54,956.67
1893,1176,1080.4,945.97,960.32
1896,589,1087.7,933.39,954.44
1899,40,980.5,916.54,954.11
1902,190,854.8,904.47,954.72
1905,766,753.8,903.14,956.08
1908,599,725.1,904.96,955.18
1911,868,702.7,907.92,958.48
1914,808,705.1,898.18,955.88
1917,381,713.4,889.63,953.78
1920,1763,718.0,905.26,955.84
1923,1599,760.3,910.97,955.88
1926,1254,826.8,911.75,961.45
1929,1030,925.8,915.7,957.11
1932,640,970.8,905.49,957.43
1935,1419,1036.1,917.54,959.34
1938,847,1060.9,912.36,959.21
1941,1740,1148.1,919.77,964.56
1944,408,1108.1,918.42,964.45
1947,1042,1174.2,914.3,959.88
1950,445,1042.4,902.48,959.98
1953,406,923.1,897.29,953.73
1956,837,881.4,902.14,957.8
1959,1312,909.6,907.66,955.07
1962,1353,980.9,919.47,955.73
1965,279,866.9,905.43,949.62
1968,356,817.8,890.15,946.7
1971,240,667.8,889.18,945.02
1974,888,715.8,879.37,940.87
1977,1127,724.3,876.51,943.41
1980,193,699.1,878.05,935.24
1983,1030,761.5,881.07,932.84
1986,775,755.3,883.38,936.48
1989,325,656.6,872.64,930.25
1992,1328,654.1,881.79,935.22
1995,733,699.5,879.91,937.87
1998,1643,828.2,894.28,939.5
2001,659,870.1,895.47,936.99
2004,1993,980.6,907.41,939.05
2007,33,871.2,904.27,934.36
2010,642,916.1,907.52,934.68
2013,860,899.1,898.4,936.73
2016,1208,942.4,904.24,937.09
2019,1313,1041.2,904.26,937.67
2022,1999,1108.3,915.93,942.83
2025,373,1072.3,909.79,943.2
2028,66,914.6,906.39,938.66
2031,1894,1038.1,916.17,946.3
2034,241,862.9,900.5,938.01
2037,570,916.6,899.43,933.33
2040,22,854.6,889.86,925.35
2043,858,854.4,896.05,921.12
2046,285,762.1,882.37,920.45
2049,628,693.6,888.4,920.5
2052,1961,689.8,897.95,925.45
2055,334,685.9,896.18,920.21
2058,1430,822.3,908.76,925.21
2061,31,636.0,897.9,921.06
2064,354,647.3,896.27,922.43
2067,1871,777.4,897.23,928.57
2070,1122,887.4,907.13,925.43
2073,1166,918.2,914.43,928.33
2076,1478,1037.5,917.38,931.77
2079,1062,1080.9,910.38,931.76
2082,730,957.8,913.39,932.34
2085,752,999.6,918.55,932.21
2088,764,933.0,923.91,930.6
2091,1395,1069.4,934.85,928.26
2094,245,1058.5,921.49,926.01
2097,868,958.2,920.25,929.4
2100,1588,1004.8,916.54,932.84
2103,913,979.5,910.18,934.17
2106,437,875.4,909.12,934.21
2109,1296,898.8,916.8,931.07
2112,1644,990.2,925.5,938.29
2115,746,989.6,927.01,937.5
2118,1083,1021.5,928.46,933.04
2121,983,980.3,922.1,930.25
2124,299,985.7,923.14,923.48
2127,1168,1015.7,923.29,927.59
2130,449,901.8,926.61,921.67
2133,532,863.7,914.67,918.62
2136,1229,942.9,911.36,919.62
2139,1081,921.4,913.76,920.95
2142,1212,878.2,907.89,919.46
2145,1944,998.0,917.7,922.39
2148,515,941.2,914.99,917.73
2151,1510,993.9,929.52,921.83
2154,383,1002.3,919.91,923.65
2157,240,909.5,906.25,920.64
2160,403,904.9,906.84,916.11
2163,504,902.1,894.23,912.35
2166,1031,882.3,899.38,912.63
2169,102,784.4,889.28,908.1
2172,1641,827.3,891.22,914.24
2175,288,661.7,876.34,906.53
2178,1768,787.0,885.16,914.37
2181,1989,834.9,894.13,917.27
2184,953,891.9,895.82,919.37
2187,1842,1052.1,911.26,922.95
2190,1431,1154.9,908.4,926.47
2193,1485,1253.0,911.49,928.73
2196,814,1231.3,913.74,923.57
2199,1106,1331.7,924.4,920.47
2202,958,1263.4,932.08,918.27
2205,634,1298.0,930.76,916.95
2208,543,1175.5,930.2,917.58
2211,1883,1164.9,940.35,924.13
2214,795,1149.1,940.22,919.2
2217,631,1028.0,942.72,916.17
2220,764,961.3,932.73,919.0
2223,49,817.7,917.23,914.1
2226,769,813.2,912.38,912.07
2229,1049,807.5,912.57,914.13
2232,1927,904.4,925.44,915.47
2235,1358,976.8,924.83,921.18
2238,663,988.8,922.99,917.67
2241,1532,953.7,920.91,920.34
2244,1697,1043.9,933.8,926.11
2247,398,1020.6,927.36,920.83
2250,1549,1099.1,938.4,920.44
2253,1678,1262.0,951.12,924.21
2256,1395,1324.6,956.7,929.42
2259,683,1288.0,950.41,929.03
2262,455,1140.8,941.43,930.45
2265,1832,1188.2,956.96,931.2
2268,1554,1277.3,968.94,929.54
2271,242,1148.3,968.96,929.07
2274,1842,1162.8,978.5,928.93
2277,844,1207.4,975.67,926.09
2280,1039,1156.4,984.13,931.09
2283,1867,1175.3,992.5,936.78
2286,1730,1208.8,1002.05,942.72
2289,398,1180.3,1002.78,937.71
2292,199,1154.7,991.49,936.64
2295,1369,1108.4,997.85,938.88
2298,1826,1135.6,999.68,946.98
2301,1987,1310.1,1012.96,954.22
2304,1857,1311.6,1011.6,959.5
2307,1581,1385.3,1027.08,965.67
2310,1940,1475.4,1040.06,973.79
2313,111,1299.8,1032.57,965.49
2316,112,1138.0,1021.61,962.92
